order_id,customer_id,restaurant_id,order_date,order_value,delivery_fee,order_status
1081,21,121,2023-10-11,550,50,Delivered
1082,22,122,2023-10-11,320,30,Cancelled
1083,23,123,2023-10-12,940,0,Delivered
1084,24,124,2023-10-12,360,30,Delivered
1085,25,125,2023-10-13,670,40,Delivered
1086,26,126,2023-10-13,430,30,Delivered
1087,27,127,2023-10-14,810,0,Delivered
1088,28,128,2023-10-14,410,30,Delivered
1089,29,129,2023-10-15,260,20,Cancelled
1090,30,130,2023-10-15,490,40,Delivered
1091,31,101,2023-11-01,580,50,Delivered
1092,32,102,2023-11-01,340,30,Delivered
1093,33,103,2023-11-02,510,40,Delivered
1094,34,104,2023-11-02,760,0,Delivered
1095,35,105,2023-11-03,630,50,Delivered
1096,36,106,2023-11-03,360,30,Cancelled
1097,37,107,2023-11-04,1020,0,Delivered
1098,38,108,2023-11-04,460,40,Delivered
1099,39,109,2023-11-05,290,20,Delivered
1100,40,110,2023-11-05,650,30,Delivered
1101,41,111,2023-11-06,420,30,Delivered
1102,42,112,2023-11-06,890,0,Delivered
1103,43,113,2023-11-07,540,40,Delivered
1104,44,114,2023-11-07,330,30,Cancelled
1105,45,115,2023-11-08,580,50,Delivered
1106,46,116,2023-11-08,760,30,Delivered
1107,47,117,2023-11-09,1080,0,Delivered
1108,48,118,2023-11-09,300,20,Delivered
1109,49,119,2023-11-10,490,40,Delivered
1110,50,120,2023-11-10,410,30,Delivered
1111,51,121,2023-11-11,570,50,Delivered
1112,52,122,2023-11-11,330,30,Cancelled
1113,53,123,2023-11-12,980,0,Delivered
1114,54,124,2023-11-12,380,30,Delivered
1115,55,125,2023-11-13,700,40,Delivered
1116,56,126,2023-11-13,450,30,Delivered
1117,57,127,2023-11-14,840,0,Delivered
1118,58,128,2023-11-14,430,30,Delivered
1119,59,129,2023-11-15,280,20,Cancelled
1120,60,130,2023-11-15,520,40,Delivered
